["Ana", "Anna"]
["NurseJoy", "Anna", [300027779880321026]]
["Harold", "Arthur"]
["Gurei", "Asugi"]
["Asama", "Azama"]
["Aqua", "Azura"]
["BestSon", "Azura!Kiragi", [256291408598663168]]
["BestSon", "Azura!Kiragi", [285663217261477889]]
["Bajirio", "Basilio"]
["Benoit", "Benny"]
["Berka", "Beruka"]
["Bredy", "Brady"]
["Buredi", "Brady"]
["Matoi", "Caeldori"]
["Riceload", "Caeldori"]
["Bunmilla", "Camilla", [271642342153388034]]
["Serge", "Cherche"]
["Seruju", "Cherche"]
["Zelcher", "Cherche"]
["BunnyChrom", "Chrom", [271642342153388034]]
["Krom", "Chrom"]
["Kuromu", "Chrom"]
["Tiamo", "Cordelia"]
["Kamui", "Corrin"]
["Shinshia", "Cynthia"]
["Denis", "Donnel"]
["Doni", "Donnel"]
["Donny", "Donnel"]
["Deere", "Dwyer"]
["Elfie", "Effie"]
["CinnamonRoll", "Elise"]
["TechnicallyAnAdult", "Elise", [214552543835979778]]
["Emelina", "Emmeryn"]
["Emerina", "Emmeryn"]
["Furavia", "Flavia"]
["Foleo", "Forrest"]
["Frederik", "Frederick"]
["Furederiku", "Frederick"]
["Fuuga", "Fuga"]
["Gaia", "Gaius"]
["Guire", "Gaius"]
["Jerome", "Gerome"]
["Jeromu", "Gerome"]
["Grego", "Gregor"]
["Gurego", "Gregor"]
["Gunther", "Gunter"]
["Kazahana", "Hana"]
["Tsukuyomi", "Hayato"]
["Henri", "Henry"]
["Ignis", "Ignatius"]
["Azur", "Inigo"]
["Azure", "Inigo"]
["Azuru", "Inigo"]
["Joker", "Jakob"]
["Nishiki", "Kaden"]
["Kagerou", "Kagero"]
["Kanna", "Kana"]
["Suzukaze", "Kaze"]
["Flannel", "Keaton"]
["Callum", "Kellam"]
["Karamu", "Kellam"]
["Who?", "Kellam", [214552543835979778]]
["Kisaragi", "Kiragi"]
["Degel", "Kjelle"]
["Dejeru", "Kjelle"]
["Lazward", "Laslow"]
["Loran", "Laurent"]
["Roran", "Laurent"]
["Leon", "Leo"]
["Libera", "Libra"]
["Ribera", "Libra"]
["Riviera", "Libra"]
["Liz", "Lissa"]
["Rizu", "Lissa"]
["Lon'zu", "Lon'qu"]
["Lonqu", "Lon'qu"]
["Lonzu", "Lon'qu"]
["Ronku", "Lon'qu"]
["Ronkuu", "Lon'qu"]
["Blucina", "Lucina", [271642342153388034]]
["Bunncina", "Lucina", [271642342153388034]]
["R63Marth", "Lucina", [214552543835979778]]
["Rukina", "Lucina"]
["Mariabel", "Maribelle"]
["Mariabell", "Maribelle"]
["Mariaberu", "Maribelle"]
["Midoriko", "Midori"]
["Mirieru", "Miriel"]
["Linfan", "Morgan"]
["Maku", "Morgan"]
["Marc", "Morgan"]
["Mark", "Morgan"]
["Mozume", "Mozu"]
["n_n", "Nah"]
["Nn", "Nah"]
["Zero", "Niles"]
["Eponine", "Nina"]
["Noir", "Noire"]
["Nowaru", "Noire"]
["Nono", "Nowi"]
["Olivie", "Olivia"]
["Orivie", "Olivia"]
["Eudes", "Owain"]
["Udo", "Owain"]
["Wood", "Owain"]
["Berubetto", "Panne"]
["Palne", "Panne"]
["Velvet", "Panne"]
["Lutz", "Percy"]
["Pieri", "Peri"]
["Paris", "Priam"]
["Parisu", "Priam"]
["Yuugiri", "Reina"]
["Syalla", "Rhajat"]
["Licht", "Ricken"]
["Richt", "Ricken"]
["Rihito", "Ricken"]
["DiogosWaifu", "Rinkah", [214552543835979778]]
["Rinka", "Rinkah"]
["Daraen", "Robin"]
["Reflet", "Robin"]
["Rufure", "Robin"]
["Lobster", "Ryoma"]
["Ryouma", "Ryoma"]
["Saizou", "Saizo"]
["Sairi", "Say'ri"]
["Sayri", "Say'ri"]
["Crimson", "Scarlet"]
["Luna", "Selena"]
["Kinu", "Selkie"]
["Selena", "Severa"]
["Serena", "Severa"]
["Shinonome", "Shiro"]
["Asyura", "Shura"]
["Sort", "Stahl"]
["Soru", "Stahl"]
["R63Cordelia", "Subaki", [214552543835979778, 271642342153388034]]
["Tsubaki", "Subaki"]
["Soiree", "Sully"]
["Soware", "Sully"]
["Smia", "Sumia"]
["Betrayal", "Takumi"]
["Pineapple", "Takumi"]
["Tacomeme", "Takumi"]
["Sallya", "Tharja"]
["Sariya", "Tharja"]
["Sarya", "Tharja"]
["Chiki", "Tiki"]
["Vake", "Vaike"]
["Veiku", "Vaike"]
["Wyck", "Vaike"]
["Velour", "Velouria"]
["Viaur", "Virion"]
["Viole", "Virion"]
["Vioru", "Virion"]
["BunnyXander", "Xander", [271642342153388034]]
["DaddyCantBeEvil", "Xander", [214552543835979778]]
["Marx", "Xander"]
["Chambray", "Yarne"]
["Shanbure", "Yarne"]
